Country,Price for 1l of milk in USD
Barbados,3.66
Papua New Guinea,3.46
Guam,3.06
Bermuda,2.96
Hong Kong,2.74
Monaco,2.73
British Virgin Islands,2.73
Reunion,2.73
Ghana,2.68
French Polynesia,2.66
Taiwan,2.56
Nigeria,2.55
Democratic Republic of the Congo,2.50
Angola,2.46
The Bahamas,2.45
Cameroon,2.41
Norway,2.40
Vanuatu,2.35
Cayman Islands,2.32
Faroe Islands,2.32
Haiti,2.32
Singapore,2.25
South Korea,2.21
Equatorial Guinea,2.14
Saint Lucia,2.13
Djibouti,2.11
China,2.09
Falkland Islands (Islas Malvinas),2.08
Jamaica,2.04
New Zealand,2.02
Greenland,2.01
Dominica,2.00
Seychelles,2.00
Senegal,1.99
Venezuela,1.97
Mozambique,1.97
Samoa,1.96
Liberia,1.95
Isle of Man,1.95
Chad,1.95
Gabon,1.91
Cyprus,1.91
Lebanon,1.88
Trinidad and Tobago,1.88
Jersey,1.82
Aruba,1.81
Japan,1.81
Canada,1.80
Guernsey,1.80
Grenada,1.77
Lesotho,1.76
Laos,1.73
Italy,1.72
Israel,1.72
Maldives,1.71
Malaysia,1.70
Fiji,1.70
Brunei,1.70
Puerto Rico,1.70
Qatar,1.68
Gibraltar,1.66
Oman,1.66
Guyana,1.66
Greece,1.65
Cambodia,1.65
Andorra,1.64
Suriname,1.63
Madagascar,1.62
Luxembourg,1.62
Philippines,1.60
Switzerland,1.60
Nicaragua,1.58
Zimbabwe,1.55
Azerbaijan,1.55
Burundi,1.55
New Caledonia,1.55
United Kingdom,1.54
Yemen,1.52
Guatemala,1.51
Somalia,1.50
Mali,1.50
Malawi,1.49
Burma,1.49
Jordan,1.48
Georgia,1.46
Ireland,1.45
United Arab Emirates,1.44
Belize,1.42
Curacao,1.42
Gambia,1.41
Thailand,1.40
Australia,1.39
Kuwait,1.39
Bahrain,1.38
Finland,1.38
Sweden,1.38
Zambia,1.37
Costa Rica,1.36
Vietnam,1.36
Peru,1.33
Bulgaria,1.32
France,1.31
Panama,1.29
Austria,1.29
Iraq,1.29
El Salvador,1.28
Latvia,1.27
Cape Verde,1.26
Dominican Republic,1.25
Libya,1.24
Sri Lanka,1.24
Mauritius,1.23
Belgium,1.22
Malta,1.22
Namibia,1.22
Netherlands,1.21
Rwanda,1.21
Denmark,1.21
Argentina,1.21
Albania,1.21
Romania,1.21
Kazakhstan,1.20
Chile,1.19
Indonesia,1.18
Mongolia,1.17
Uganda,1.17
Turkmenistan,1.15
Iceland,1.15
Montenegro,1.14
Slovenia,1.14
Cuba,1.12
Colombia,1.11
Botswana,1.11
Lithuania,1.11
Russia,1.11
Republic of Macedonia,1.09
Croatia,1.09
Spain,1.08
Egypt,1.08
Saudi Arabia,1.07
Serbia,1.06
Honduras,1.05
Mexico,1.04
Tanzania,1.03
Brazil,1.03
Bosnia and Herzegovina,1.02
Slovakia,1.01
Kenya,1.01
United States,0.99
Afghanistan,0.98
Germany,0.98
Iran,0.97
Ecuador,0.96
South Africa,0.95
Hungary,0.94
Syria,0.93
Ukraine,0.93
Ethiopia,0.92
Turkey,0.91
Paraguay,0.91
Uzbekistan,0.90
Armenia,0.90
Belarus,0.90
Bhutan,0.90
Kyrgyzstan,0.88
Czech Republic,0.87
Estonia,0.86
Uruguay,0.84
Swaziland,0.83
Portugal,0.83
Poland,0.83
Morocco,0.82
Sudan,0.82
Bolivia,0.79
Tajikistan,0.78
Bangladesh,0.78
Pakistan,0.76
Tunisia,0.70
Moldova,0.66
India,0.58
Algeria,0.53
Nepal,0.50
