Country,Full suffrage for women on national level
Afghanistan,1963
Albania,1920
Algeria,1962
Andorra,1970
Angola,1975
Argentina,1947
Armenia,1917
Australia,1962
Austria,1919
Azerbaijan,1918
Bahamas,1960
Bahrain,2002
Bangladesh,1971
Barbados,1950
Antigua and Barbuda,1951
British Virgin Islands,1951
Montserrat,1951
Saint Kitts and Nevis,1951
Anguilla,1951
Grenada,1951
St Lucia,1951
St Vincent and the Grenadines,1951
Dominica,1951
Belarus,1919
Belgium,1948
Belize,1954
Benin,1956
Bermuda,1944
Bhutan,1953
Bolivia,1952
Botswana,1965
Brazil,1932
Brunei,x
Bulgaria,1944
Burkina Faso,1958
Burma,1922
Burundi,1961
Cambodia,1955
Cameroon,1946
Canada,1960
Cape Verde,1975
Cayman Islands,1957
Central African Republic,1986
Chad,1958
Chile,1949
China,1947
Colombia,1954
Comoros,1956
Democratic Republic of the Congo,1967
Republic of the Congo,1963
Cook Islands,1893
Costa Rica,1949
Côte d'Ivoire,1952
Cuba,1934
Cyprus,1960
Czech Republic,1920
Slovakia,1920
Denmark,1915
Greenland,1915
Faroe Islands,1915
Iceland,1915
Djibouti,1946
Dominican Republic,1942
Ecuador,1967
Egypt,1956
El Salvador,1950
Equatorial Guinea,x
Estonia,1917
Ethiopia,1955
Eritrea,1955
Fiji,1963
Finland,1906
France,1944
Gabon,1956
Gambia,1960
Georgia,1918
Germany,1918
Ghana,1954
Greece,1952
Guatemala,1965
Guinea,1958
Guinea-Bissau,1977
Guyana,1953
Haiti,1950
Honduras,1955
Hong Kong,1949
Hungary,1945
India,1947
Indonesia,1945
Iran,1963
Iraq,1980
Ireland,1922
Israel,1948
Italy,1945
Jamaica,1944
Japan,1947
Jordan,1974
Kazakhstan,1924
Kenya,1963
Kiribati,1967
North Korea,x
South Korea,1948
Kuwait,1985
Kyrgyztan,1918
Laos,x
Latvia,1917
Lebanon,1952
Lesotho,1965
Liberia,1946
Libya,1951
Liechtenstein,1984
Lithuania,1918
Luxembourg,1919
Madagascar,1959
Malawi,1961
Malaysia,1955
Maldives,1932
Mali,1956
Malta,1947
Marshall Islands,1979
Mauritania,1961
Mauritius,1956
Mexico,1953
Micronesia,1979
Moldova,1940
Monaco,1962
Mongolia,1924
Morocco,1963
Mozambique,1975
Namibia,1989
Nauru,1968
Nepal,1951
Netherlands,1919
New Zealand,1893
Nicaragua,1955
Niger,1948
Nigeria,1958
Norway,1913
Oman,2003
Pakistan,1947
Palau,1979
Palestine,1996
Panama,1946
Papua New Guinea,1964
Paraguay,1961
Peru,1955
Philippines,1937
Pitcairn Islands,1838
Poland,1918
Portugal,1976
Puerto Rico,1935
Qatar,x
Romania,1946
Russia,1917
Rwanda,1961
Saudi Arabia,x
Samoa,1990
San Marino,1959
São Tomé and Príncipe,1975
Senegal,1945
Seychelles,1948
Sierra Leone,1961
Singapore,1947
Solomon Islands,1974
Somalia,1956
South Africa,1994
Spain,1931
Sri Lanka,1931
Sudan,1964
Suriname,1948
Swaziland,1968
Sweden,1919
Switzerland,1971
Syria,1949
Taiwan,1947
Tajikistan,1924
Tanzania,1959
Thailand,1932
Timor-Leste,1976
Togo,1945
Tonga,1960
Trinidad and Tobago,1925
Tunisia,1957
Turkey,1934
Turkmenistan,1924
Tuvalu,1967
Uganda,1962
Ukraine,1919
United Arab Emirates,x
United Kingdom,1928
USA,1920
Virgin Islands,1936
Uruguay,1927
Uzbekistan,1938
Vanuatu,1975
Vatican City,x
Venezuela,1946
Vietnam,x
Yemen,1970
Zambia,1962
Zimbabwe,1919
Macedonia,1945
Serbia,1945
Montenegro,1945
Croatia,1945
Slovenia,1945
Bosnia and Herzegovina,1945
